run_id,case_id,seed,system,setting,model,temperature,max_tokens,round_cap,rag_enabled,rag_fallback_used,fallback_tainted,retry_used,retry_count,runtime_seconds,n_phase1_agents,n_phase1_elements,n_phase2_negotiations,n_phase2_steps,n_phase3_elements,n_phase3_connections,conflict_resolution_rate,chv,mdc,semantic_preservation_f1,semantic_p2_vs_p1_f1,s_logic,topology_is_valid,deterministic_is_valid,compliance_coverage,s_term,iso29148_unambiguous,iso29148_correctness,iso29148_verifiability,iso29148_set_consistency,iso29148_set_feasibility,blind_eval_run_id,judge_pipeline_hash,validation_passed,non_comparable_reason
mare-library-multi_agent_without_negotiation-s202,Library,202,mare,multi_agent_without_negotiation,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,33.404201,5,24,0,0,24,19,0.0,0.003943,0.861225,0.901168,0.0,1.0,1,0,0.666667,0.5,3.9,3.8,2.333334,5.0,2.600001,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,negotiation_and_verification_not_executed_for_setting
mare-library-multi_agent_with_negotiation-s202,Library,202,mare,multi_agent_with_negotiation,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,33.093969,5,24,5,10,6,5,0.0,0.071547,0.834523,0.907648,1.0,1.0,1,0,0.166667,1.0,5.0,3.8,1.333334,5.0,1.400001,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,verification_not_executed_for_setting
mare-library-negotiation_integration_verification-s202,Library,202,mare,negotiation_integration_verification,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,32.153341,5,24,5,10,24,19,1.0,0.003965,0.840768,0.877048,0.957236,1.0,1,1,0.5,0.8,4.56,5.0,4.0,5.0,3.8,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,
mare-library-single_agent-s303,Library,303,mare,single_agent,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,0.006126,1,7,0,0,7,6,0.0,0.0,0.0,0.933134,0.0,1.0,1,0,1.0,1.0,5.0,3.8,3.0,5.0,3.4,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,single_agent_baseline_partial_phase_equivalence
mare-library-multi_agent_without_negotiation-s303,Library,303,mare,multi_agent_without_negotiation,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,28.343072,5,25,0,0,25,20,0.0,0.003771,0.863359,0.880567,0.0,1.0,1,0,0.333333,1.0,5.0,3.8,1.666666,5.0,1.799999,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,negotiation_and_verification_not_executed_for_setting
mare-library-multi_agent_with_negotiation-s303,Library,303,mare,multi_agent_with_negotiation,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,34.100653,5,25,5,10,6,5,1.0,0.002401,0.837655,0.884391,0.968637,1.0,1,0,0.166667,0.666667,4.266667,3.8,1.333334,5.0,1.400001,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,verification_not_executed_for_setting
mare-library-negotiation_integration_verification-s303,Library,303,mare,negotiation_integration_verification,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,33.002843,5,25,5,10,25,20,1.0,0.003959,0.863222,0.871685,0.930204,1.0,1,1,0.5,0.714286,4.371429,5.0,4.0,5.0,3.8,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,
mare-rollcall-single_agent-s101,RollCall,101,mare,single_agent,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,0.005296,1,6,0,0,6,5,0.0,0.0,0.0,0.928342,0.0,1.0,1,0,1.0,0.5,3.9,3.8,3.0,5.0,3.4,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,single_agent_baseline_partial_phase_equivalence
mare-rollcall-multi_agent_without_negotiation-s101,RollCall,101,mare,multi_agent_without_negotiation,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,34.85819,5,25,0,0,25,20,0.0,0.002106,0.884114,0.907487,0.0,1.0,1,0,0.8,0.8,4.56,3.8,2.6,5.0,2.92,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,negotiation_and_verification_not_executed_for_setting
mare-rollcall-multi_agent_with_negotiation-s101,RollCall,101,mare,multi_agent_with_negotiation,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,38.725101,5,25,5,10,6,5,1.0,0.093169,0.876991,0.893165,0.958237,1.0,1,0,0.4,0.75,4.45,3.8,1.8,5.0,1.96,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,verification_not_executed_for_setting
mare-rollcall-negotiation_integration_verification-s101,RollCall,101,mare,negotiation_integration_verification,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,38.473418,5,25,5,10,25,20,1.0,0.003947,0.863138,0.877111,0.941635,1.0,1,1,0.8,0.833333,4.633333,5.0,4.6,5.0,4.52,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,
mare-rollcall-single_agent-s202,RollCall,202,mare,single_agent,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,0.005203,1,6,0,0,6,5,0.0,0.0,0.0,0.926887,0.0,1.0,1,0,1.0,0.5,3.9,3.8,3.0,5.0,3.4,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,single_agent_baseline_partial_phase_equivalence
mare-rollcall-multi_agent_without_negotiation-s202,RollCall,202,mare,multi_agent_without_negotiation,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,43.552514,5,25,0,0,25,20,0.0,0.003994,0.86333,0.906522,0.0,1.0,1,0,0.8,0.75,4.45,3.8,2.6,5.0,2.92,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,negotiation_and_verification_not_executed_for_setting
mare-rollcall-multi_agent_with_negotiation-s202,RollCall,202,mare,multi_agent_with_negotiation,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,33.08517,5,25,5,10,6,5,0.0,0.054967,0.793258,0.901465,1.0,1.0,1,0,0.6,0.666667,4.266667,3.8,2.2,5.0,2.44,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,verification_not_executed_for_setting
mare-rollcall-negotiation_integration_verification-s202,RollCall,202,mare,negotiation_integration_verification,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,38.201793,5,25,5,10,25,20,1.0,0.003852,0.873749,0.879702,0.945863,1.0,1,1,0.6,0.833333,4.633333,5.0,4.2,5.0,4.04,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,
mare-rollcall-single_agent-s303,RollCall,303,mare,single_agent,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,0.005206,1,6,0,0,6,5,0.0,0.0,0.0,0.927323,0.0,1.0,1,0,1.0,0.5,3.9,3.8,3.0,5.0,3.4,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,single_agent_baseline_partial_phase_equivalence
mare-rollcall-multi_agent_without_negotiation-s303,RollCall,303,mare,multi_agent_without_negotiation,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,40.492772,5,23,0,0,23,18,0.0,0.003869,0.859276,0.905464,0.0,1.0,1,0,0.4,0.8,4.56,3.8,1.8,5.0,1.96,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,negotiation_and_verification_not_executed_for_setting
mare-rollcall-multi_agent_with_negotiation-s303,RollCall,303,mare,multi_agent_with_negotiation,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,33.819422,5,24,5,10,6,5,0.0,9e-06,0.753547,0.896869,1.0,1.0,1,0,0.4,0.6,4.12,3.8,1.8,5.0,1.96,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,verification_not_executed_for_setting
mare-rollcall-negotiation_integration_verification-s303,RollCall,303,mare,negotiation_integration_verification,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,38.611162,5,25,5,10,25,20,0.0,0.003738,0.873791,0.906931,1.0,1.0,1,1,0.8,0.8,4.56,5.0,4.6,5.0,4.52,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,
